result_id,project_idx,feature_code,feature_name,title,summary,full_content,key_points,vector_similarity,chunks_from_announcement,chunks_from_attachments,referenced_attachments,extracted_at
11,1,proposal,사업계획서,사업계획서,"사업계획서는 연구개발 목표 및 내용, 연구개발성과 활용계획 및 기대 효과를 포함하여 작성해야 하며, 요약문은 5쪽 이내로 작성합니다.","사업계획서는 연구개발 목표 및 내용, 연구개발성과 활용계획 및 기대 효과를 포함하여 작성해야 하며, 요약문은 5쪽 이내로 작성합니다. 연구개발과제의 특성에 따라 선택적으로 항목을 적용할 수 있습니다.",연구개발 목표 및 내용 포함|연구개발성과 활용계획 및 기대 효과 기재|요약문은 5쪽 이내로 작성,0.539715051651001,0,7,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf,2025-11-11T16:05:07.725016
12,1,selection_process,선정절차,과제 선정 절차 및 일정,"과제 선정 절차는 연구개발기관에 의해 개별 통보되며, 평가 결과 적격 과제가 없을 경우 선정하지 않을 수 있다.","결과 통보 및 연구개발기관 과제 재공모 접수마감 선정평가(서면) 이의신청 선정 및 협약체결 2025.10.15.(수) ≫ 2025.10.21.(화) ≫ 2025.10.23.(목) ≫ 2025.10.28.(화) ≫ 2025.11.7.(금) ∼10.21.(화) 18:00까지 ∼10.27.(월) ∼11.6.(목) ∼11.11.(화) ※ 상기 일정과 방법 등은 변경될 수 있으며, 평가 방법 및 절차에 중대한 하자가 있는 경우, 1회에 한하여 이의신청할 수 있음 평가방법 및 기준 가 평가방법 ◦ 관련분야 전문가 인으로 구성된 선정평가단에서 접수된 연구계획서에 근거하여 서면평가 실시 나 평가기준 ◦ 평균점수 점 이상인 과제 중 최고 점수 과제 선정 평가점수는 점 만점으로 평가위원 점수 중 최고·최저점을 제외한 산술 평균점수 적용 소수점 둘째자리에서 반올림 공모 결과 응모자가 인 미만일 경우 절대평가로 평가를 실시하며 평균점수가 점 이상인 경우 적격 미만일 경우 부적격으로 판단 ◦ 연구목표 및 내용의 구체성 및 적합성 연구계획의 RFP와의 부합성 30 ◦ 연구개발 방법 및 추진체계의 합리성 ◦ 책임자의 전문성 연구자의 연구역량 ◦ 참여연구원의 구성 및 과제수행 적합성 30 연구결과의 활용도 ◦ 연구성과 및 활용방안의 우수성 30 연구비 소요계획 ◦ 연구비 소요계획의 적절성 10 합 계 100",과제 선정 결과는 연구개발기관에 의해 개별 통보됨|평가 결과 적격 과제가 없을 경우 선정하지 않을 수 있음,0.5577937960624695,2,5,(붙임2) 연구계획서 양식.pdf,2025-11-11T16:05:22.451441
13,1,evaluation_criteria,평가기준,평가기준,"연구목표 및 내용의 구체성, 연구개발 방법 및 추진체계의 합리성, 연구결과의 활용도, 연구비 소요계획 등 4개 항목으로 평가하며 총 100점 만점으로 배점.",◦ 연구목표 및 내용의 구체성 및 적합성 연구계획의 RFP와의 부합성 30 ◦ 연구개발 방법 및 추진체계의 합리성 ◦ 책임자의 전문성 연구자의 연구역량 ◦ 참여연구원의 구성 및 과제수행 적합성 30 ◦ 연구결과의 활용도 ◦ 연구성과 및 활용방안의 우수성 30 ◦ 연구비 소요계획 ◦ 연구비 소요계획의 적절성 10 합 계 100,연구목표 및 내용의 구체성: 30점|연구개발 방법 및 추진체계의 합리성: 30점|연구결과의 활용도: 30점|연구비 소요계획: 10점,0.41878724098205566,1,6,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf,2025-11-11T16:05:30.139379
14,1,evaluation_method,평가방법,평가방법 및 기준,"연구계획서에 근거한 서면평가를 통해 평균점수 이상인 과제 중 최고 점수 과제를 선정하며, 평가기준은 연구목표, 방법, 책임자 전문성, 연구성과 활용도, 연구비 소요계획 등으로 구성된다.",가 평가방법 ◦ 관련분야 전문가 인으로 구성된 선정평가단에서 접수된 연구계획서에 근거하여 서면평가 실시 나 평가기준 ◦ 평균점수 점 이상인 과제 중 최고 점수 과제 선정 평가점수는 점 만점으로 평가위원 점수 중 최고·최저점을 제외한 산술 평균점수 적용 소수점 둘째자리에서 반올림 공모 결과 응모자가 인 미만일 경우 절대평가로 평가를 실시하며 평균점수가 점 이상인 경우 적격 미만일 경우 부적격으로 판단 구 분 세부사항 배 점 ◦ 연구목표 및 내용의 구체성 및 적합성 연구계획의 RFP와의 부합성 30 ◦ 연구개발 방법 및 추진체계의 합리성 ◦ 책임자의 전문성 연구자의 연구역량 ◦ 참여연구원의 구성 및 과제수행 적합성 30 연구결과의 활용도 ◦ 연구성과 및 활용방안의 우수성 30 연구비 소요계획 ◦ 연구비 소요계획의 적절성 10 합 계 100,"서면평가를 통해 과제 선정|평가기준은 연구목표, 방법, 책임자 전문성 등으로 구성",0.5009086728096008,2,5,(붙임2) 연구계획서 양식.pdf,2025-11-11T16:05:40.988766
15,1,related_laws,관련법령,연구윤리 준수 서약서,연구 사업 참여자는 연구과제 목표 달성을 위해 관련 법령을 준수하고 부정행위를 방지해야 함.,"본인은 연구 사업에 참여하는 동안 연구과제 목표 달성을 위해 최선을 다하고, 관련 규정과 지침이 정하는 절차와 방법에 따라 연구를 수행하겠으며, 다음 각 호의 내용을 충실히 따를 것을 서약합니다. 1.「국가연구개발혁신법」에 따른 연구수행 과정에서의 부정행위(위조/변조/표절 등) 방지 노력 연구비 사용 관련 규정 숙지 및 준수 연구노트의 작성 및 관리 2.「생명윤리법」에 관계된 인간대상연구 수행 시 관련법 준수 3.「실험동물에 관한 법률」에 관계된 동물실험연구 수행 시 관련법 준수.",국가연구개발혁신법에 따른 부정행위 방지|생명윤리법 및 실험동물에 관한 법률 준수,0.6474896669387817,0,7,(붙임2) 연구계획서 양식.pdf|(붙임3) 신청자격 적정성 확인서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf|(붙임4) 개인정보 등 제공활용 동의서 및 연구윤리 준수 서약서 양식.pdf,2025-11-11T16:05:47.336104
16,1,related_systems,관련제도,관련 제도 및 정책,"국가연구개발혁신법에 따라 연구개발기관의 신청 자격이 규정되며, 이 공고에서 정하지 않은 사항은 국가연구개발혁신법에 따름.",이 공고에서 정하지 아니한 사항에 대해서는 국가연구개발혁신법에 따름.,신청 자격은 국가연구개발혁신법에 따라 규정됨|공고에서 정하지 않은 사항은 국가연구개발혁신법에 따름,0.534812867641449,3,4,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf,2025-11-11T16:05:50.527806
17,1,notice,유의사항,서류 작성 시 유의사항,"공문 및 연구계획서는 연구책임자 및 기관장 직인이 필요하며, 과제명, 책임자, 연구비 등 필수 기록사항을 기재해야 합니다. 지원 제외 사유도 명시되어 있습니다.","◦ 공문 및 연구계획서는 연구책임자 및 기관장 직인 필
◦ 과제명 책임자 연구비 등 양식에서 요구하는 기록사항은 반드시 기재
※ 연구비 소요명세서 작성 시 비목별 계상기준은「국가연구개발혁신법 시행령」별표2 참조
◦ 다음의 경우는 지원 대상에서 제외
신청과제가 공고된 과제제안요구서 의 목표 및 내용에 부합하지 않는 경우
신청과제의 과제기획위원회 에 참여한 과제기획위원이 해당 과제의 연구개발기 관의 책임자로 과제에 참여하는 경우
과기정통부 과학기술혁신정책지원사업 심의회 연구책임자 등이 접수 마감일 현재 각종 보고서 제출 기술료 납부 등 의무사 항을 불이행하고 있는 경우
접수기간 내에 사업계획서의 전산 접수 및 기타 서류 제출이 미비한 경우",공문 및 연구계획서에 직인 필요|기재사항 미비 시 지원 제외,0.618213415145874,2,5,(붙임2) 연구계획서 양식.pdf|(붙임4) 개인정보 등 제공활용 동의서 및 연구윤리 준수 서약서 양식.pdf,2025-11-11T16:06:01.388920
18,1,contact,문의처,문의처,한국과학기술기획평가원 재정관리실 윤한울 선임전문관리원 연락처 정보가 포함되어 있습니다.,문의처 ◦ 한국과학기술기획평가원 재정관리실 윤한울 선임전문관리원 연락처 이메일 붙임 과제제안요청서 각 부 연구계획서 공모과제용 양식 부 신청자격 적정성 확인서 양식 부 개인정보 및 과세정보 제공활용동의서 양식 부 끝,문의처: 한국과학기술기획평가원 재정관리실 윤한울 선임전문관리원|연락처 정보 포함,0.5482100248336792,1,6,(붙임2) 연구계획서 양식.pdf,2025-11-11T16:06:06.513790
19,1,application_method,신청방법,신청방법,"신청서는 공문으로 제출하며, 연구개발계획서는 필수 제출 서류입니다. 서류는 한국과학기술기획평가원에 제출해야 합니다.","◦ 공문 한국과학기술기획평가원 재정관리실 또는 이메일
◦ 공문 및 연구계획서는 연구책임자 및 기관장 직인 필
◦ 과제명 책임자 연구비 등 양식에서 요구하는 기록사항은 반드시 기재
※ 연구비 소요명세서 작성 시 비목별 계상기준은「국가연구개발혁신법 시행령」별표2 참조
◦ 다음의 경우는 지원 대상에서 제외
신청과제가 공고된 과제제안요구서 의 목표 및 내용에 부합하지 않는 경우
신청과제의 과제기획위원회 에 참여한 과제기획위원이 해당 과제의 연구개발기 관의 책임자로 과제에 참여하는 경우
과기정통부 과학기술혁신정책지원사업 심의회 연구책임자 등이 접수 마감일 현재 각종 보고서 제출 기술료 납부 등 의무사 항을 불이행하고 있는 경우
접수기간 내에 사업계획서의 전산 접수 및 기타 서류 제출이 미비한 경우
선정결과 통보 및 협약체결
◦ 연구기관 연구책임자 으로 선정된 자에게 개별 통보
※ 단, 평가결과 적격과제가 없는 것으로 판단될 경우에는 선정하지 아니할 수 있음
◦ 과제선정결과에 따라 해당 연구책임자와 협의하여 연구협약 체결",신청서는 공문으로 제출|연구개발계획서는 필수 제출 서류,0.536405086517334,4,3,(붙임2) 연구계획서 양식.pdf|(붙임3) 신청자격 적정성 확인서 양식.pdf,2025-11-11T16:06:10.781821
20,1,submission_office,신청서접수처,제출서류 및 제출방법,신청서는 한국과학기술기획평가원 재정관리실 또는 이메일로 제출해야 합니다.,가 제출서류 구분 서류명 부수 서식 비고 ① 신청서 제출 공문 1부 - 전자파일 ② 연구개발계획서 1부 별첨 1 제출 필수 ③ 신청자격 적정성 확인서 1부 - ④ 개인정보 및 과세정보 제공활용동의서 1부 - 나 제출 방법 ◦ 공문 한국과학기술기획평가원 재정관리실 또는 이메일,신청서는 한국과학기술기획평가원 재정관리실에 제출|이메일 제출 가능,0.587449848651886,2,5,(붙임2) 연구계획서 양식.pdf,2025-11-11T16:06:15.757789
21,1,indirect_cost,간접비,위탁연구비,"위탁연구비는 직접비의 40% 이내에서 계상되며, 간접비에 대한 언급이 포함되어 있습니다.","(해당시 작성하며, 위탁연구비를 제외한 직접비의 40%이내에서 계상합니다.) 위탁연구과제명 성 명 소속기관 및 부서 위탁연구책임자 직위(직급) 전 공 연구 기 간 연구 비 (천원) 연구 내 용 연구 비 소요명세 기타 특이사항",위탁연구비는 직접비의 40% 이내에서 계상|간접비에 대한 언급 포함,0.51787930727005,0,7,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf,2025-11-11T16:06:21.624438
22,1,budget_usage,사업비사용,연구개발비 총괄표,"연구개발비 사용기준에 따라 직접비, 간접비, 인건비, 연구시설ㆍ장비비 등 다양한 항목에 대한 사용 내역을 기재하며, 특례 적용 여부에 따라 구분하여 작성해야 함.","(단위: 천원)
연구개발비
직접비
연구 연구
연구시설ㆍ장비
학생인건비 국제 개발비 수당
주관.공동 비 위탁 연구
연구 공동 연구 외 계상
연구개발기관명 연구 개발 연구 간접비 합계
인건비 재료 연구 활동 소계 지원금 기준
개발 부담 수당
일반1｣ 특례2｣ 일반3｣ 특례4｣ 비 개발 비 5｣ 금액6｣
비 비
비
현금
현물
소계
현금
총계 현물
합계
* 1｣ 국가연구개발사업 연구개발비 사용기준 제6장에 따른 학생인건비 사용에 관한 특례를 적용하지 않는 학생인건비를 기재합니다.
2｣ 국가연구개발사업 연구개발비 사용기준 제6장에 따른 학생인건비 사용에 관한 특례를 적용하는 학생인건비를 기재합니다.
3｣ 국가연구개발사업 연구개발비 사용기준 제7장에 따른 연구시설ㆍ장비비 사용에 관한 특례를 적용하지 않는 연구시설ㆍ장비비를 기재합니다.
4｣ 국가연구개발사업 연구개발비 사용기준 제7장에 따른 연구시설ㆍ장비비 사용에 관한 특례를 적용하는 연구시설ㆍ장비비를 기재합니다.
5｣ 국제기구, 외국의 정부ㆍ기관ㆍ단체 등이 지원ㆍ부담하는 금액이거나, 중앙행정기관(소속기관 포함)이 소관 업무를 위하여 직접 수행하는 사업의 금액으로 「국가연구개발혁신법」에 따른 연구개발비에 포함하지 않는 금액을 기재합니다.
6｣ 대학, 기업 등 참여연구자가 소속된 연구개발기관으로부터 연구개발과제와 별도로 인건비를 지급받는 연구개발기관에 한해 참여연구자들의 연구수당을 계상하기 위한 기준금액입니다. 해당 금액은 연구개발기관이 해당 연구개발과제의 연구개발기간 동안 참여연구자에게 지급하는 인건비를 같은 기간 동안 해당 참여연구자가 실제 해당 연구개발과제에 참여한 정도로 곱한 금액 중 해당 연구개발과제의 연구개발비에서 계상하지 아니한 금액을 기재합니다.",연구개발비는 직접비와 간접비로 구분됨.|특례 적용 여부에 따라 인건비 및 연구시설ㆍ장비비를 구분하여 작성해야 함.,0.5327418446540833,0,7,(붙임2) 연구계획서 양식.pdf|(붙임3) 신청자격 적정성 확인서 양식.pdf|(붙임4) 개인정보 등 제공활용 동의서 및 연구윤리 준수 서약서 양식.pdf,2025-11-11T16:06:37.471706
23,1,expected_effect,기대효과,연구개발성과 활용계획 및 기대효과,"정부 R&D 성과 확산체계 구축을 통해 기술주도 성장을 촉진하고, 연구성과의 민간 확산 및 기술사업화를 지원하여 경제적 파급효과를 기대할 수 있다.","정부 R&D 성과 확산체계 구축을 통해 기술주도 성장을 촉진하고, 연구성과의 민간 확산 및 기술사업화를 지원하여 경제적 파급효과를 기대할 수 있다.",기술주도 성장 촉진|연구성과의 민간 확산 및 기술사업화 지원,0.659801721572876,0,7,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf|(붙임4) 개인정보 등 제공활용 동의서 및 연구윤리 준수 서약서 양식.pdf,2025-11-11T16:06:44.220887
24,1,utilization_plan,활용방안,연구개발성과 활용계획 및 기대효과,"연구개발 성과의 수요처와 활용 내용을 포함하여 경제적 파급효과를 기재해야 하며, 연구시설 및 장비 구축을 위한 성과관리 및 자립운영계획도 포함된다.","(연구시설ㆍ장비 구축을 목적으로 하는 연구개발과제의 경우에 연구시설ㆍ장비를 활용한 성과관리 및 자립운영계획, 수입금 관리 및 운영계획 등).",연구개발 성과의 수요처 및 활용 내용 기재|경제적 파급효과 포함|연구시설 및 장비 활용한 성과관리 계획,0.5403424501419067,0,7,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf,2025-11-11T16:06:48.875515
25,1,agreement,협약체결,선정결과 통보 및 협약체결,"연구기관 연구책임자에게 선정 결과를 개별 통보하며, 과제선정결과에 따라 연구협약을 체결한다.","◦ 연구기관 연구책임자 으로 선정된 자에게 개별 통보
※ 단, 평가결과 적격과제가 없는 것으로 판단될 경우에는 선정하지 아니할 수 있음
◦ 과제선정결과에 따라 해당 연구책임자와 협의하여 연구협약 체결",연구책임자에게 선정 결과 개별 통보|연구협약은 선정 결과에 따라 체결,0.6062434911727905,3,4,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf|(붙임4) 개인정보 등 제공활용 동의서 및 연구윤리 준수 서약서 양식.pdf,2025-11-11T16:06:54.462100
26,1,project_management,사업관리,기타 지원조건,향후 과제 수행 과정에서 담당부서와 협의를 통해 연구내용이 조정될 수 있음.,"◦ 제안기관의 연구보안 관련 연구역량 및 전문성
※
◦ 향후 과제 수행 과정에서 담당부서와 협의를 통해 연구내용이 조정될 수 있음",과제 수행 과정에서 담당부서와 협의 필요|연구내용 조정 가능성,0.5385500192642212,2,5,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf,2025-11-11T16:06:58.088622
27,1,final_evaluation,최종평가,평가기준,"최종평가는 연구목표 및 내용의 구체성, 연구개발 방법의 합리성, 연구자의 전문성, 연구결과의 활용도, 연구비 소요계획 등을 기준으로 100점 만점으로 평가된다.",가 평가방법 ◦ 관련분야 전문가 인으로 구성된 선정평가단에서 접수된 연구계획서에 근거하여 서면평가 실시 나 평가기준 ◦ 평균점수 점 이상인 과제 중 최고 점수 과제 선정 평가점수는 점 만점으로 평가위원 점수 중 최고·최저점을 제외한 산술 평균점수 적용 소수점 둘째자리에서 반올림 공모 결과 응모자가 인 미만일 경우 절대평가로 평가를 실시하며 평균점수가 점 이상인 경우 적격 미만일 경우 부적격으로 판단 구 분 세부사항 배 점 ◦ 연구목표 및 내용의 구체성 및 적합성 연구계획의 RFP와의 부합성 30 ◦ 연구개발 방법 및 추진체계의 합리성 ◦ 책임자의 전문성 연구자의 연구역량 ◦ 참여연구원의 구성 및 과제수행 적합성 30 연구결과의 활용도 ◦ 연구성과 및 활용방안의 우수성 30 연구비 소요계획 ◦ 연구비 소요계획의 적절성 10 합 계 100,연구목표 및 내용의 구체성 및 적합성 (30점)|연구개발 방법 및 추진체계의 합리성 (30점)|연구성과 및 활용방안의 우수성 (30점)|연구비 소요계획의 적절성 (10점),0.5275858640670776,1,6,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf,2025-11-11T16:07:10.793484
28,1,performance_management,성과관리,성과지표 및 목표치,"성과지표명과 목표치, 가중치에 대한 정보가 포함되어 있으며, 연구개발과제 특성을 반영한 지표가 제시됨.",성과지표명 목표치 가중치(%) 전담기관 등록ㆍ기탁지표 연구개발과제 특성 반영 지표 계 100,성과지표명과 목표치가 명시됨|연구개발과제 특성을 반영한 지표가 포함됨,0.401170551776886,2,5,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf,2025-11-11T16:07:15.741497
29,1,intellectual_property,지식재산권,지식재산권 출원ㆍ등록 실적,"최근 5년간의 지식재산권 출원 및 등록 실적을 작성하도록 요구하며, 연구개발과제의 특성에 따라 선택적으로 작성할 수 있습니다.",구분 출원ㆍ등록번호/ 지식재산권명 국가명 출원ㆍ등록일 비고 (특허/프로그램등 ) 출원ㆍ등록자 수 - 8 -,최근 5년간 지식재산권 출원 및 등록 실적 작성 요구|연구개발과제 특성에 따라 선택적 작성 가능,0.6051657199859619,0,7,(붙임2) 연구계획서 양식.pdf|(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf|(붙임4) 개인정보 등 제공활용 동의서 및 연구윤리 준수 서약서 양식.pdf,2025-11-11T16:07:20.286447
30,1,duplicate_restriction,중복지원제한,중복 지원 제한,신청과제가 국가연구개발사업으로 추진 중인 과제와 중복되는 경우 지원 대상에서 제외됩니다.,□ 국가연구개발사업 기 개발 또는 기 지원 여부 ◦ 국가연구개발사업으로 추진하였거나 추진 중인 과제와의 중복되는가?,신청과제가 국가연구개발사업과 중복될 경우 지원 제외|중복 지원 여부 확인 필요,0.5754754543304443,2,5,(붙임2) 연구계획서 양식.pdf|(붙임3) 신청자격 적정성 확인서 양식.pdf|(붙임4) 개인정보 등 제공활용 동의서 및 연구윤리 준수 서약서 양식.pdf,2025-11-11T16:07:23.875958
