project_idx,feature_code,feature_name,title,summary,full_content,key_points,vector_similarity,chunks_from_announcement,chunks_from_attachments,referenced_attachments,extracted_at
1,related_laws,관련법령,이 외 연구개발과 관련된 법과 규정 등,"연구개발과 관련된 법령으로는 '개인정보보호법' 제18조와 '국세기본법' 제81조의13이 포함되어 있으며, 연구개발계획서 제출 시 관련 법령 및 규정을 준수해야 함.","본인 및 참여 인력은 과학기술정보통신부의 과학기술혁신정책지원사업 관련 계획서 및 보고서에 대한 심사․평가․협약에서 과학기술정보통신부 및 한국과학기술기획평가원이 본인의 학력, 경력, 연구업적 등에 관한 정보를 활용할 필요가 있다는 것을 이해하고 있으며, 이를 위해「개인정보보호법」제18조, 「국세기본법」제81조의13 등에 따라 보호되고 있는 본인에 관한 각종 정보․자료를 과학기술정보통신부 및 한국과학기술기획평가원에 제공하는 데 동의합니다.",개인정보보호법 제18조|국세기본법 제81조의13,0.2957354187965393,0,7,(붙임2) 연구계획서 양식.pdf|(붙임4) 개인정보 등 제공활용 동의서 및 연구윤리 준수 서약서 양식.pdf,2025-11-09T12:24:34.452002
1,related_systems,관련제도,기타,이 공고에서 정하지 아니한 사항에 대해서는 국가연구개발혁신법에 따름.,이 공고에서 정하지 아니한 사항에 대해서는 국가연구개발혁신법에 따름.,국가연구개발혁신법 적용|공고에서 정하지 않은 사항에 대한 규정,0.347568154335022,1,6,(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf|(붙임2) 연구계획서 양식.pdf,2025-11-09T12:24:36.705613
1,application_method,신청방법,신청방법,"신청서는 공문으로 제출하며, 연구개발계획서는 별첨 양식을 사용하여 제출해야 합니다. 서류는 연구책임자 및 기관장 직인이 필요합니다.","◦ 공문 한국과학기술기획평가원 재정관리실 또는 이메일
◦ 공문 및 연구계획서는 연구책임자 및 기관장 직인 필
◦ 과제명 책임자 연구비 등 양식에서 요구하는 기록사항은 반드시 기재
※ 연구비 소요명세서 작성 시 비목별 계상기준은「국가연구개발혁신법 시행령」별표2 참조
◦ 다음의 경우는 지원 대상에서 제외
신청과제가 공고된 과제제안요구서 의 목표 및 내용에 부합하지 않는 경우
신청과제의 과제기획위원회 에 참여한 과제기획위원이 해당 과제의 연구개발기관의 책임자로 과제에 참여하는 경우
과기정통부 과학기술혁신정책지원사업 심의회 연구책임자 등이 접수 마감일 현재 각종 보고서 제출 기술료 납부 등 의무사항을 불이행하고 있는 경우
접수기간 내에 사업계획서의 전산 접수 및 기타 서류 제출이 미비한 경우
◦ 연구기관 연구책임자 으로 선정된 자에게 개별 통보
※ 단, 평가결과 적격과제가 없는 것으로 판단될 경우에는 선정하지 아니할 수 있음
◦ 과제선정결과에 따라 해당 연구책임자와 협의하여 연구협약 체결",신청서는 공문으로 제출|연구개발계획서는 별첨 양식 사용,0.43304675817489624,2,5,(붙임2) 연구계획서 양식.pdf,2025-11-09T12:24:50.944795
1,submission_office,신청서접수처,신청서 접수처,신청서는 한국과학기술기획평가원 재정관리실 또는 이메일로 제출해야 합니다.,◦ 공문 한국과학기술기획평가원 재정관리실 또는 이메일,신청서는 한국과학기술기획평가원 재정관리실에 제출|이메일 제출 가능,0.3576804995536804,2,5,(붙임2) 연구계획서 양식.pdf,2025-11-09T12:24:53.482047
1,indirect_cost,간접비,연구개발비 총괄표,"연구개발비 총괄표에서 간접비 항목이 포함되어 있으며, 연구개발기관의 연구개발비 사용기준에 따라 간접비가 산정됩니다.","(1) 연구개발비 총괄표 (단위: 천원) 연구개발비 직접비 연구 연구 연구시설ㆍ장비 학생인건비 국제 개발비 수당 주관.공동 비 위탁 연구 연구 공동 연구 외 계상 연구개발기관명 연구 개발 연구 간접비 합계 인건비 재료 연구 활동 소계 지원금 기준 개발 부담 수당 일반1｣ 특례2｣ 일반3｣ 특례4｣ 비 개발 비 5｣ 금액6｣ 비 비 비 현금 현물 소계 현금 총계 현물 합계 * 1｣ 국가연구개발사업 연구개발비 사용기준 제6장에 따른 학생인건비 사용에 관한 특례를 적용하지 않는 학생인건비를 기재합니다. 2｣ 국가연구개발사업 연구개발비 사용기준 제6장에 따른 학생인건비 사용에 관한 특례를 적용하는 학생인건비를 기재합니다. 3｣ 국가연구개발사업 연구개발비 사용기준 제7장에 따른 연구시설ㆍ장비비 사용에 관한 특례를 적용하지 않는 연구시설ㆍ장비비를 기재합니다. 4｣ 국가연구개발사업 연구개발비 사용기준 제7장에 따른 연구시설ㆍ장비비 사용에 관한 특례를 적용하는 연구시설ㆍ장비비를 기재합니다. 5｣ 국제기구, 외국의 정부ㆍ기관ㆍ단체 등이 지원ㆍ부담하는 금액이거나, 중앙행정기관(소속기관 포함)이 소관 업무를 위하여 직접 수행하는 사업의 금액으로 「국가연구개발혁신법」에 따른 연구개발비에 포함하지 않는 금액을 기재합니다. 6｣ 대학, 기업 등 참여연구자가 소속된 연구개발기관으로부터 연구개발과제와 별도로 인건비를 지급받는 연구개발기관에 한해 참여연구자들의 연구수당을 계상하기 위한 기준금액입니다. 해당 금액은 연구개발기관이 해당 연구개발과제의 연구개발기간 동안 참여연구자에게 지급하는 인건비를 같은 기간 동안 해당 참여연구자가 실제 해당 연구개발과제에 참여한 정도로 곱한 금액 중 해당 연구개발과제의 연구개발비에서 계상하지 아니한 금액을 기재합니다.",연구개발비 총괄표에 간접비 항목 포함|간접비는 연구개발기관의 사용기준에 따라 산정,0.44470149278640747,0,7,(붙임1)+과제제안요구서(RFP)_정부R&D+성과확산+체계+법률+정비.pdf|(붙임2) 연구계획서 양식.pdf,2025-11-09T12:25:06.502066
1,rd_objective,연구개발목표,연구개발과제의 목표,"연구개발하고자 하는 지식, 기술(또는 공정) 등의 정성적 또는 정량적 목표를 기재합니다.","1) 연구개발과제의 최종 목표: 연구개발하고자 하는 지식, 기술(또는 공정) 등의 정성적 또는 정량적 목표를 기재합니다.",정성적 목표|정량적 목표,0.1300361156463623,0,7,(붙임2) 연구계획서 양식.pdf,2025-11-09T12:25:10.123655
1,rd_content,연구개발내용,연구개발과제의 내용,"연구개발과제의 구체적인 내용이 기술되어 있으며, 연구 목표와 방법론이 포함되어 있습니다.","연구개발과제의 내용은 연구 목표, 방법론, 기대 효과 등을 포함하여 구체적으로 기술되어 있습니다.",연구 목표|방법론|기대 효과,0.14796346426010132,0,7,(붙임2) 연구계획서 양식.pdf,2025-11-09T12:25:12.953335
1,utilization_plan,활용방안,연구개발성과의 활용방안 및 기대효과,연구개발 성과를 통해 기대되는 효과와 활용 방안을 제시합니다.,4. 연구개발성과의 활용방안 및 기대효과,연구개발 성과의 활용 방안 제시|기대되는 효과 설명,0.19480443000793457,0,7,(붙임2) 연구계획서 양식.pdf,2025-11-09T12:25:15.617674
1,performance_management,성과관리,성과지표 및 목표치,"성과지표와 목표치를 기재하며, 연구개발성과와 관련된 지표를 설정합니다.",1) 성과지표 및 목표치: 영 별표 3에 따라 전담기관에 등록ㆍ기탁하는 연구개발성과와 그 밖에 연구개발과제의 특성에 따른 연구개발성과와 관련된 성과지표와 그 목표치를 기재합니다.,성과지표와 목표치 설정|연구개발성과 관련 지표 기재,0.2805914878845215,0,7,(붙임2) 연구계획서 양식.pdf,2025-11-09T12:25:22.271983
1,intellectual_property,지식재산권,연구개발과제와 연관된 지식재산권 출원 및 등록 현황(최근 5년간 실적),"연구개발과제와 관련된 지식재산권의 소유 및 출원, 등록 현황을 기재하며, 기관, 지식재산권명, 출원 국가, 등록번호, 등록일 등을 포함합니다.","연구개발과제와 연관된 지식재산권 출원 및 등록 현황(최근 5년간 실적): 연구개발과제와 연관된 지식재산권의 소유 기관, 해당 지식재산권명, 출원ㆍ등록 국가, 출원ㆍ등록번호, 출원ㆍ등록일을 기재합니다.",연구개발과제와 관련된 지식재산권의 소유 현황|출원 및 등록 정보 포함,0.3028460741043091,0,7,(붙임2) 연구계획서 양식.pdf|(붙임4) 개인정보 등 제공활용 동의서 및 연구윤리 준수 서약서 양식.pdf,2025-11-09T12:25:26.376563
